task_id,model,seed,target_coverage,empirical_coverage,avg_set_size,n_classes,n_test
14965,deep_ensemble,3,0.9,1.0,1.9969036824062811,2,9043
14965,deep_ensemble,4,0.9,1.0,1.997346013491098,2,9043
14965,lgbm,0,0.9,1.0,1.9954661063806258,2,9043
14965,lgbm,1,0.9,1.0,1.9964613513214642,2,9043
14965,lgbm,2,0.9,1.0,1.9881676434811457,2,9043
14965,lgbm,3,0.9,1.0,1.9948026097534004,2,9043
14965,lgbm,4,0.9,1.0,1.992369788786907,2,9043
14965,mc_dropout,0,0.9,1.0,1.9998894172287958,2,9043
14965,mc_dropout,1,0.9,1.0,1.9997788344575915,2,9043
14965,mc_dropout,2,0.9,1.0,1.9881676434811457,2,9043
14965,mc_dropout,3,0.9,1.0,1.9975671790335066,2,9043
14965,mc_dropout,4,0.9,1.0,1.9969036824062811,2,9043
14965,single_mlp,0,0.9,1.0,1.9998894172287958,2,9043
14965,single_mlp,1,0.9,1.0,1.9998894172287958,2,9043
14965,single_mlp,2,0.9,1.0,1.9849607431162224,2,9043
14965,single_mlp,3,0.9,1.0,1.99635076855026,2,9043
14965,single_mlp,4,0.9,1.0,1.996793099635077,2,9043
14965,xgboost,0,0.9,1.0,1.9952449408382174,2,9043
14965,xgboost,1,0.9,1.0,1.9959084374654428,2,9043
14965,xgboost,2,0.9,1.0,1.9904898816764347,2,9043
14965,xgboost,3,0.9,1.0,1.9969036824062811,2,9043
14965,xgboost,4,0.9,1.0,1.9935861992701538,2,9043
14970,catboost,0,0.9,1.0,2.421359223300971,6,2060
14970,catboost,1,0.9,1.0,2.3932038834951457,6,2060
14970,catboost,2,0.9,1.0,2.459708737864078,6,2060
14970,catboost,3,0.9,1.0,2.3927184466019416,6,2060
14970,catboost,4,0.9,1.0,2.411650485436893,6,2060
14970,deep_ensemble,0,0.9,1.0,4.027184466019418,6,2060
14970,deep_ensemble,1,0.9,1.0,4.132038834951456,6,2060
14970,deep_ensemble,2,0.9,1.0,4.333495145631068,6,2060
14970,deep_ensemble,3,0.9,1.0,4.105339805825243,6,2060
14970,deep_ensemble,4,0.9,1.0,4.319417475728155,6,2060
14970,lgbm,0,0.9,1.0,3.1,6,2060
14970,lgbm,1,0.9,1.0,3.1859223300970876,6,2060
14970,lgbm,2,0.9,1.0,3.1990291262135924,6,2060
14970,lgbm,3,0.9,1.0,3.1728155339805824,6,2060
14970,lgbm,4,0.9,1.0,3.1849514563106798,6,2060
14970,mc_dropout,0,0.9,1.0,4.1412621359223305,6,2060
14970,mc_dropout,1,0.9,1.0,4.495631067961165,6,2060
14970,mc_dropout,2,0.9,1.0,4.279611650485437,6,2060
14970,mc_dropout,3,0.9,1.0,4.1470873786407765,6,2060
14970,mc_dropout,4,0.9,1.0,4.224271844660194,6,2060
14970,single_mlp,0,0.9,1.0,4.216504854368932,6,2060
14970,single_mlp,1,0.9,1.0,4.578155339805825,6,2060
14970,single_mlp,2,0.9,1.0,4.295631067961165,6,2060
14970,single_mlp,3,0.9,1.0,4.233495145631068,6,2060
14970,single_mlp,4,0.9,1.0,4.3174757281553395,6,2060
14970,xgboost,0,0.9,1.0,3.016990291262136,6,2060
14970,xgboost,1,0.9,1.0,3.0514563106796118,6,2060
14970,xgboost,2,0.9,1.0,3.149029126213592,6,2060
14970,xgboost,3,0.9,1.0,3.0262135922330096,6,2060
14970,xgboost,4,0.9,1.0,3.053883495145631,6,2060
