family,comparison,metric,calibrator,model,n,med_a,med_b,med_diff,p,p_adj,sig,rbc,magnitude,note,wins,losses,ties
H2,dirichlet vs raw,cal_ece_mean,dirichlet,xgboost,36,0.01877123097170735,0.03139668076824225,-0.004243087197954296,0.0005099171248730272,0.020906602119794115,True,-0.6396396396396397,large,calibrator effect within model,9,27,0
H2,dirichlet vs raw,cal_brier_score,dirichlet,xgboost,36,0.12600174246870832,0.1262535154819488,-0.0014744578879782866,0.0019591173622757196,0.06660999031737447,False,-0.5765765765765766,large,calibrator effect within model,11,25,0
H2,temp vs raw,cal_nll,temp,catboost,36,0.2246641293168068,0.26396981314894524,-0.005472976970702598,2.20548827201128e-07,1.3894576113671064e-05,True,-0.8828828828828829,large,calibrator effect within model,3,33,0
H2,temp vs raw,cal_ece_mean,temp,catboost,36,0.017410688836257453,0.03851591447796405,-0.011555607952022756,3.304739948362112e-07,2.0158913685008883e-05,True,-0.8738738738738738,large,calibrator effect within model,6,30,0
H2,temp vs raw,cal_brier_score,temp,catboost,36,0.1307270526885986,0.13082906717292425,-0.0016363622166400485,3.66999302059412e-08,2.4221953935921192e-06,True,-0.918918918918919,large,calibrator effect within model,3,33,0
H2,logistic vs raw,cal_nll,logistic,catboost,36,0.28690668162097405,0.26396981314894524,0.015518289018115455,4.400411853566766e-06,0.0002464230637997389,True,0.8078078078078078,large,calibrator effect within model,29,7,0
H2,logistic vs raw,cal_ece_mean,logistic,catboost,36,0.04028404532196335,0.03851591447796405,0.0051461687363739015,0.08254700517863967,1.0,False,0.3333333333333333,medium,calibrator effect within model,25,11,0
H2,logistic vs raw,cal_brier_score,logistic,catboost,36,0.13612048744509125,0.13082906717292425,0.0035492215198771066,0.04422121457173489,0.8402030768629629,False,0.3843843843843844,medium,calibrator effect within model,24,12,0
H2,isotonic vs raw,cal_nll,isotonic,catboost,36,0.293083476736297,0.26396981314894524,0.036360069672436754,0.000991061155218631,0.034687140432652086,True,0.6096096096096096,large,calibrator effect within model,25,11,0
H2,isotonic vs raw,cal_ece_mean,isotonic,catboost,36,0.014296037830420251,0.03851591447796405,-0.009862723227460748,2.5482935598120093e-05,0.0012486638443078846,True,-0.7537537537537538,large,calibrator effect within model,6,30,0
