task_id,dataset_name,n_samples,regime,n_classes,seed,config_idx,is_fixed,hidden_dims,lr,dropout,weight_decay,val_cal_nll,nll_ts,ece_ts,brier_ts,nll_raw,temperature
9960,wall-robot-navigation,5456,medium,4,3,10,False,"(512, 256, 128)",0.0005,0.1,0.001,0.271765261888504,0.2301721572875976,0.013593371416259,0.1199904382228851,0.2508163452148437,1.4041008949279783
9960,wall-robot-navigation,5456,medium,4,3,11,False,"(512, 256)",0.003,0.0,0.0001,0.3203703463077545,0.2301971912384033,0.0165882853106555,0.1232693567872047,0.2855618298053741,1.7991797924041748
9960,wall-robot-navigation,5456,medium,4,3,12,False,"(256, 128, 64)",0.001,0.3,0.0,0.2542609870433807,0.2191053330898285,0.0127395807568698,0.116639919579029,0.2289891242980957,1.2916468381881714
9960,wall-robot-navigation,5456,medium,4,3,13,False,"(128, 64)",0.003,0.0,0.001,0.2942191660404205,0.2703263759613037,0.0257751030053702,0.1431782245635986,0.2840529084205627,1.280956506729126
9960,wall-robot-navigation,5456,medium,4,3,14,False,"(512, 256, 128)",0.0005,0.05,0.0,0.2537625133991241,0.2496052533388137,0.0179394489934301,0.1317123770713806,0.263119637966156,1.2477514743804932
9960,wall-robot-navigation,5456,medium,4,4,0,True,"(256, 128)",0.001,0.1,0.0001,0.2736123204231262,0.2702292203903198,0.0187574640480444,0.13875113427639,0.2757502794265747,1.1652638912200928
9960,wall-robot-navigation,5456,medium,4,4,1,False,"(512, 256)",0.0001,0.1,0.001,0.2789839506149292,0.2848779559135437,0.0177453644346259,0.1477736681699752,0.2853910624980926,1.0496069192886353
9960,wall-robot-navigation,5456,medium,4,4,2,False,"(256, 128, 64)",0.0001,0.05,0.0001,0.2899969220161438,0.2901250720024109,0.0188671061098211,0.1521964520215988,0.2904695570468902,0.9778720140457152
9960,wall-robot-navigation,5456,medium,4,4,3,False,"(256, 128)",0.001,0.3,0.001,0.2566008269786834,0.2567160129547119,0.0150480551033375,0.135502427816391,0.2657282948493957,1.224056601524353
9960,wall-robot-navigation,5456,medium,4,4,4,False,"(256, 128)",0.0005,0.3,1e-05,0.2643479108810425,0.2738877832889557,0.0201521675956409,0.1448898464441299,0.2795597314834595,1.160792589187622
9960,wall-robot-navigation,5456,medium,4,4,5,False,"(512, 256)",0.0005,0.05,0.001,0.2806988954544067,0.2892584502696991,0.018437747972061,0.1496345400810241,0.2902446985244751,1.0634634494781494
9960,wall-robot-navigation,5456,medium,4,4,6,False,"(512, 256)",0.0001,0.0,0.001,0.2809156775474548,0.276142805814743,0.0124672034593874,0.1412638872861862,0.2783803045749664,1.112471580505371
9960,wall-robot-navigation,5456,medium,4,4,7,False,"(128, 64)",0.0005,0.3,0.001,0.2794727683067322,0.312540739774704,0.017126884579804,0.1669150590896606,0.3125406801700592,0.9999935030937196
9960,wall-robot-navigation,5456,medium,4,4,8,False,"(64, 32)",0.0001,0.1,0.0001,0.5718047618865967,0.5482891798019409,0.0497863984988577,0.2980552315711975,0.6064523458480835,0.6494700312614441
9960,wall-robot-navigation,5456,medium,4,4,9,False,"(128, 64)",0.003,0.2,0.001,0.2387675791978836,0.2472799718379974,0.0127106143550558,0.1313268542289734,0.2562917172908783,1.1989041566848757
9960,wall-robot-navigation,5456,medium,4,4,10,False,"(512, 256, 128)",0.0005,0.1,0.001,0.2676326930522918,0.2641924619674682,0.015928931033946,0.1381668448448181,0.2675082087516784,1.1203806400299072
9960,wall-robot-navigation,5456,medium,4,4,11,False,"(512, 256)",0.003,0.0,0.0001,0.2978990972042084,0.308907687664032,0.0241418351875265,0.1609188169240951,0.3295992612838745,1.2905453443527222
9960,wall-robot-navigation,5456,medium,4,4,12,False,"(256, 128, 64)",0.001,0.3,0.0,0.2619953453540802,0.2798542976379394,0.02525845356513,0.1548993289470672,0.2819526195526123,1.086696743965149
9960,wall-robot-navigation,5456,medium,4,4,13,False,"(128, 64)",0.003,0.0,0.001,0.294655978679657,0.2792088389396667,0.0217206466292578,0.1454353779554367,0.2910833060741424,1.2608147859573364
9960,wall-robot-navigation,5456,medium,4,4,14,False,"(512, 256, 128)",0.0005,0.05,0.0,0.2675383388996124,0.2704907953739166,0.01653436239313,0.1386171579360962,0.2785771489143371,1.1617623567581177
9985,first-order-theorem-proving,6118,medium,6,3,0,True,"(256, 128)",0.001,0.1,0.0001,1.2491780519485474,1.2483021020889282,0.0304889479948284,0.5943225622177124,1.2539732456207275,1.0996242761611938
9985,first-order-theorem-proving,6118,medium,6,3,1,False,"(512, 256)",0.0001,0.1,0.001,1.2472635507583618,1.243118405342102,0.036072457091546,0.591401219367981,1.2464710474014282,1.074275255203247
9985,first-order-theorem-proving,6118,medium,6,3,2,False,"(256, 128, 64)",0.0001,0.05,0.0001,1.2414987087249756,1.2336276769638062,0.0191430578572363,0.5855775475502014,1.2353246212005615,1.0598782300949097
9985,first-order-theorem-proving,6118,medium,6,3,3,False,"(256, 128)",0.001,0.3,0.001,1.2401775121688845,1.2304741144180298,0.0358083783679343,0.5884340405464172,1.2334070205688477,1.074988842010498
9985,first-order-theorem-proving,6118,medium,6,3,4,False,"(256, 128)",0.0005,0.3,1e-05,1.2391434907913208,1.2344695329666138,0.0326015633492363,0.5877767205238342,1.2376981973648071,1.073144555091858
9985,first-order-theorem-proving,6118,medium,6,3,5,False,"(512, 256)",0.0005,0.05,0.001,1.2460557222366333,1.2458516359329224,0.0365259988813748,0.588958203792572,1.261478066444397,1.1582369804382324
9985,first-order-theorem-proving,6118,medium,6,3,6,False,"(512, 256)",0.0001,0.0,0.001,1.2493960857391355,1.2444552183151243,0.0328735282729848,0.5862720012664795,1.256896734237671,1.1482545137405396
9985,first-order-theorem-proving,6118,medium,6,3,7,False,"(128, 64)",0.0005,0.3,0.001,1.2566338777542114,1.237163543701172,0.0261048063725103,0.5927937030792236,1.237163543701172,1.0000392198562622
9985,first-order-theorem-proving,6118,medium,6,3,8,False,"(64, 32)",0.0001,0.1,0.0001,1.3372790813446045,1.3366280794143677,0.0453271556540122,0.6306866407394409,1.3418397903442385,0.8804193735122681
9985,first-order-theorem-proving,6118,medium,6,3,9,False,"(128, 64)",0.003,0.2,0.001,1.2581244707107544,1.2254245281219482,0.0394852817797128,0.583672821521759,1.229015827178955,1.1103204488754272
9985,first-order-theorem-proving,6118,medium,6,3,10,False,"(512, 256, 128)",0.0005,0.1,0.001,1.245823621749878,1.223175883293152,0.0270335119753296,0.5815526843070984,1.228757619857788,1.1163606643676758
9985,first-order-theorem-proving,6118,medium,6,3,11,False,"(512, 256)",0.003,0.0,0.0001,1.279091715812683,1.2693523168563845,0.0328139684290862,0.6030850410461426,1.2749429941177368,1.1125186681747437
9985,first-order-theorem-proving,6118,medium,6,3,12,False,"(256, 128, 64)",0.001,0.3,0.0,1.243608832359314,1.23065185546875,0.0340355749532158,0.5871208906173706,1.2313847541809082,1.0434043407440186
9985,first-order-theorem-proving,6118,medium,6,3,13,False,"(128, 64)",0.003,0.0,0.001,1.25007963180542,1.252105712890625,0.0354926814578782,0.5965861678123474,1.2548680305480957,1.0600857734680176
9985,first-order-theorem-proving,6118,medium,6,3,14,False,"(512, 256, 128)",0.0005,0.05,0.0,1.2354716062545776,1.232030987739563,0.0436493280934157,0.5830204486846924,1.240774631500244,1.1239211559295654
9985,first-order-theorem-proving,6118,medium,6,4,0,True,"(256, 128)",0.001,0.1,0.0001,1.2810941934585571,1.2678457498550415,0.0486339127567793,0.5928937196731567,1.2681952714920044,1.0665490627288818
9985,first-order-theorem-proving,6118,medium,6,4,1,False,"(512, 256)",0.0001,0.1,0.001,1.2715280055999756,1.2634891271591189,0.0461997794543346,0.5913680195808411,1.2646360397338867,1.0694866180419922
9985,first-order-theorem-proving,6118,medium,6,4,2,False,"(256, 128, 64)",0.0001,0.05,0.0001,1.2509502172470093,1.2351248264312744,0.0479643157356639,0.5780614614486694,1.235277533531189,1.069404363632202
9985,first-order-theorem-proving,6118,medium,6,4,3,False,"(256, 128)",0.001,0.3,0.001,1.2728424072265625,1.2569923400878906,0.0519731638664968,0.5868532061576843,1.2596989870071411,1.112846851348877
9985,first-order-theorem-proving,6118,medium,6,4,4,False,"(256, 128)",0.0005,0.3,1e-05,1.2859817743301392,1.27118718624115,0.0509303008573442,0.5964572429656982,1.2709453105926514,1.0310883522033691
