task_id,dataset_name,n_samples,regime,n_classes,model_label,nll_ts,ece_ts,brier_ts
3573,mnist_784,70000,large,10,LightGBM,0.0788865089416503,0.0031652187318319,0.0369215011596679
3573,mnist_784,70000,large,10,XGBoost,0.0777566060423851,0.0028141996413469,0.036945391446352
3573,mnist_784,70000,large,10,DeepEnsemble_M5,0.0718675702810287,0.0042243190088442,0.0329498462378978
3913,kc2,522,small,2,SingleMLP_Fixed,0.4136260747909546,0.0873707601002284,0.253928005695343
3913,kc2,522,small,2,SingleMLP_Tuned,0.3735943734645843,0.0829338546783205,0.2272510826587677
3913,kc2,522,small,2,LightGBM,0.3836661279201507,0.0938076305010962,0.234653890132904
3913,kc2,522,small,2,XGBoost,0.4039428830146789,0.077911330972399,0.2470673322677612
3913,kc2,522,small,2,DeepEnsemble_M5,0.3685067892074585,0.0671259779778737,0.2238253504037857
9946,wdbc,569,small,2,SingleMLP_Fixed,0.0846816524863243,0.026040343338983,0.0476878993213176
9946,wdbc,569,small,2,SingleMLP_Tuned,0.0707317888736724,0.0234780876260054,0.0372342839837074
9946,wdbc,569,small,2,LightGBM,0.1292880773544311,0.0275701202495753,0.0695187970995903
9946,wdbc,569,small,2,XGBoost,0.1125100925564765,0.0327119815070726,0.0649886801838874
9946,wdbc,569,small,2,DeepEnsemble_M5,0.0832616239786148,0.025416276259729,0.0370877906680107
9960,wall-robot-navigation,5456,medium,4,SingleMLP_Fixed,0.2655085623264313,0.0187574640480444,0.13875113427639
9960,wall-robot-navigation,5456,medium,4,SingleMLP_Tuned,0.2019723951816558,0.0153848840621947,0.1120567247271537
9960,wall-robot-navigation,5456,medium,4,LightGBM,0.016265045851469,0.0023603856345236,0.0070149400271475
9960,wall-robot-navigation,5456,medium,4,XGBoost,0.0136863533407449,0.0033105707503354,0.0061940476298332
9960,wall-robot-navigation,5456,medium,4,DeepEnsemble_M5,0.2389009594917297,0.0160824079180229,0.1294344663619995
9985,first-order-theorem-proving,6118,medium,6,SingleMLP_Fixed,1.2489913702011108,0.0304889479948284,0.5928937196731567
9985,first-order-theorem-proving,6118,medium,6,SingleMLP_Tuned,1.2351248264312744,0.0342309039475676,0.5855775475502014
9985,first-order-theorem-proving,6118,medium,6,LightGBM,1.1461411714553833,0.0362629706774531,0.5426915287971497
9985,first-order-theorem-proving,6118,medium,6,XGBoost,1.141085505485535,0.0297805381277352,0.5404577255249023
9985,first-order-theorem-proving,6118,medium,6,DeepEnsemble_M5,1.222998023033142,0.0304936674831349,0.58360755443573
10101,blood-transfusion-service-center,748,small,2,SingleMLP_Fixed,0.4865414500236511,0.0646367679701911,0.3179703652858734
10101,blood-transfusion-service-center,748,small,2,SingleMLP_Tuned,0.477012038230896,0.066493100060357,0.3056585788726806
10101,blood-transfusion-service-center,748,small,2,LightGBM,0.4976328611373901,0.0685182477368249,0.3228174448013305
10101,blood-transfusion-service-center,748,small,2,XGBoost,0.5012279152870178,0.0684145009517669,0.3227822780609131
10101,blood-transfusion-service-center,748,small,2,DeepEnsemble_M5,0.4730574488639831,0.0784211756123437,0.3026783168315887
14952,PhishingWebsites,11055,large,2,SingleMLP_Fixed,0.0878990069031715,0.0075181820319641,0.0524616912007331
14952,PhishingWebsites,11055,large,2,SingleMLP_Tuned,0.0912761837244033,0.0088144205516232,0.054771352559328
14952,PhishingWebsites,11055,large,2,LightGBM,0.0809784680604934,0.0083092911182692,0.0470497235655784
14952,PhishingWebsites,11055,large,2,XGBoost,0.0807489976286888,0.0081994919490799,0.0463851615786552
14952,PhishingWebsites,11055,large,2,DeepEnsemble_M5,0.0860903486609458,0.0072310776547323,0.0514324940741062
14954,cylinder-bands,540,small,2,SingleMLP_Fixed,0.4600118696689605,0.0771414667000005,0.2945521771907806
14954,cylinder-bands,540,small,2,SingleMLP_Tuned,0.4557634890079498,0.0852295796812316,0.2965907454490661
14954,cylinder-bands,540,small,2,LightGBM,0.4363869130611419,0.0784534469798759,0.2737607061862945
14954,cylinder-bands,540,small,2,XGBoost,0.4471509754657745,0.0727534421064235,0.2825086414813995
14954,cylinder-bands,540,small,2,DeepEnsemble_M5,0.4468636214733124,0.0856873676364804,0.28915935754776
14965,bank-marketing,45211,large,2,SingleMLP_Fixed,0.2273705154657364,0.0057617503036166,0.1390060037374496
14965,bank-marketing,45211,large,2,SingleMLP_Tuned,0.2191880345344543,0.0054728146448142,0.1354118734598159
14965,bank-marketing,45211,large,2,LightGBM,0.1987171620130539,0.0110836982740233,0.1244890391826629
14965,bank-marketing,45211,large,2,XGBoost,0.1997402161359787,0.0123158550019893,0.1250128746032714
14965,bank-marketing,45211,large,2,DeepEnsemble_M5,0.2234591245651245,0.00605117187133,0.1372367739677429
14970,har,10299,large,6,SingleMLP_Fixed,0.0475685894489288,0.0067822148016741,0.0257383454591035
14970,har,10299,large,6,SingleMLP_Tuned,0.0376518405973911,0.0056704820745585,0.0171315316110849
14970,har,10299,large,6,LightGBM,0.035448245704174,0.0048072910906813,0.0205732360482215
14970,har,10299,large,6,XGBoost,0.0373354144394397,0.0049979791382755,0.0213959012180566
14970,har,10299,large,6,DeepEnsemble_M5,0.0418974459171295,0.0066302735442868,0.0209161546081304
146195,connect-4,67557,large,3,SingleMLP_Fixed,0.4574362337589264,0.0089557814055795,0.2517388761043548
146195,connect-4,67557,large,3,SingleMLP_Tuned,0.4429492354393005,0.0065370903752754,0.2470278143882751
146195,connect-4,67557,large,3,LightGBM,0.3906099796295166,0.0117059950522882,0.2140237540006637
146195,connect-4,67557,large,3,XGBoost,0.4473088085651397,0.0179012114491268,0.2468487173318863
146195,connect-4,67557,large,3,DeepEnsemble_M5,0.4320319592952728,0.0106747505143475,0.2383975684642791
146800,MiceProtein,1080,medium,8,SingleMLP_Fixed,0.0177521184086799,0.0044390704528784,0.0061503956094384
146800,MiceProtein,1080,medium,8,SingleMLP_Tuned,0.0197292324155569,0.0057166080783914,0.0087284678593277
